ID Alegra,Nombre,Referencia,Precio
45,desinstalacion sistema CCTV o camaras de seguridad,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 300000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
53,ABRAZADERA METAL DOBLE ALA 1/2,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 250, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
46,"alarma gsm, wifi inalambrica 99 zonas",,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 1200000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
67,ANKOFEN,01,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 26000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
63,ANKOFEN POMADA,3,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 26000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
40,barilla roscada 5/16,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 5000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
41,broca 5/16 muro,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 20000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
66,cable neopreno,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 1500, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
18,cable UTP cat6 exterior,UTPEXT6,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 1400, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
61,cableado estructurado,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 80000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
42,caja 10 x 10,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 8000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
51,CAJA DE EMPALME TERCOL,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 8200, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
29,CAMARA 4 EN 1 TIPO BALA METALICA FULLCOLOR,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 285000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
30,CAMARA 4 EN 1 TIPO BALA SEMIMETALICA FULLCOLOR LED 40M MIC,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 295000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
12,Camara dahua 1080 aleación anti vandálica,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 150000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
11,Camara hd dahua 1080 plastico,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 130000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
64,camara ip ptz K7NIPC 5 MP,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 470000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
14,Canaleta 13x7 dexxon,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 7000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
43,Canaleta de piso,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 49000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
24,cargador lenovo 20v 1.7 amp,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 70000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
52,CONECTOR EMT 3/4,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 1900, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
65,CONVERTIDOR DE MEDIOS FBOP,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 145000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
3,CPE220 MAXESTREAM 2.4,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 550000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
10,Disco 2 therabites,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 380000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
8,Disco duro 1 thera bite WD PURPLE,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 350000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
57,DISCO DURO SSD M2 KINSTON,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 310000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
23,display 15.6 lenovo,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 350000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
13,Dvr dahua wize sense 1080p,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 320000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
19,DVR HIK-VISION 8 CH 1080P,00078,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 390000, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
48,FACE PLATE 1 PUERTO,,"[{'idPriceList': '1', 'name': 'General', 'type': 'amount', 'price': 3500, 'currency': {'code': 'COP', 'symbol': '$'}, 'main': True}]"
